@relation thermal

@attribute max numeric
@attribute min numeric
@attribute ave numeric
@attribute stdev numeric
@attribute Problem_Area {yes, no}

@data
2.658218859016946,2.3671664076138006,2.5569344025487224,0.9032679738562092,yes
2.6016253267996676,2.423759939831078,2.547502147179176,0.9050108932461873,yes
2.583434548586972,2.4742898793107906,2.5403156668976172,0.9015250544662309,yes
2.6016253267996676,2.4742898793107906,2.546154682126382,0.9080610021786492,yes
2.611731314695611,2.4682262865732265,2.5582818676015138,0.9172113289760349,yes
2.611731314695611,2.4682262865732265,2.570409053076645,0.9215686274509803,yes
2.623858500170741,2.3671664076138006,2.565468347883074,0.9128540305010893,yes
2.623858500170741,2.484395867206734,2.547726724687974,0.9037037037037038,yes
2.623858500170741,2.3934419761432504,2.4987688277698505,0.8980392156862745,yes
2.658218859016946,2.3631240124554234,2.5055061530338145,0.8880174291938998,no
2.658218859016946,2.3934419761432504,2.5573835575663173,0.905446623093682,yes
2.6016253267996676,2.4884382623651105,2.5647946153566785,0.9098039215686274,yes
2.5915193389037254,2.4884382623651105,2.5681632779886576,0.9119825708061001,yes
2.6339644880666846,2.534925806686447,2.583434548586972,0.9154684095860567,yes
2.6339644880666846,2.4945018551026763,2.5975829316412913,0.9211328976034858,yes
2.6339644880666846,2.4742898793107906,2.606116876975643,0.9233115468409586,yes
2.629922092908307,2.500565447840242,2.5969091991148945,0.9211328976034858,yes
2.623858500170741,2.5268410163696933,2.5789429984109966,0.9159041394335512,yes
2.623858500170741,2.4217387422518897,2.5279639039136876,0.9098039215686274,yes
2.6016253267996676,2.2560005407584316,2.4383574779029966,0.8644880174291939,no
2.6016253267996676,2.3631240124554234,2.5090993931745933,0.8945533769063181,yes
2.658218859016946,2.4379083228853977,2.5450317945823904,0.9080610021786492,yes
2.5955617340621018,2.5066290405778076,2.5681632779886576,0.9132897603485839,yes
2.6339644880666846,2.5066290405778076,2.5784938433934004,0.914161220043573,yes
2.6339644880666846,2.545031794582389,2.600502439255676,0.9145969498910675,yes
2.6339644880666846,2.563222572795086,2.603871101887655,0.9163398692810457,yes
2.629922092908307,2.5409893994240127,2.5978075091500896,0.9154684095860567,yes
2.623858500170741,2.466205088994037,2.569286165532652,0.9145969498910675,yes
2.623858500170741,2.411632754355948,2.5142646758769653,0.9089324618736383,yes
2.5106714357361852,2.1852586254868336,2.3485264743835073,0.8052287581699347,no
2.583434548586972,2.241852157704112,2.434539660253418,0.8588235294117647,yes
2.583434548586972,2.3570604197178575,2.496298475173065,0.8923747276688453,yes
2.6016253267996676,2.450035508360529,2.5418877094592065,0.9089324618736383,yes
2.6339644880666846,2.496523052681866,2.563896305321482,0.9106753812636166,yes
2.6339644880666846,2.5409893994240127,2.58725236623655,0.9093681917211329,yes
2.6339644880666846,2.5288622139488814,2.5885998312893412,0.9093681917211329,yes
2.629922092908307,2.445993113202153,2.5652437703742743,0.9080610021786492,yes
2.6198161050123647,2.4338659277270214,2.5317817215632643,0.9058823529411765,yes
2.5915193389037254,2.2883397020254486,2.468675441590824,0.8884531590413943,yes
2.4379083228853977,2.094304734423351,2.263860753566386,0.7315904139433551,no
2.545031794582389,2.142813476323876,2.3550392221386693,0.8052287581699347,yes
2.545031794582389,2.2964244923422026,2.4336413502182235,0.8657952069716776,yes
2.583434548586972,2.361102814876235,2.4922560800146902,0.8967320261437908,yes
2.583434548586972,2.452056705939717,2.5187562260529393,0.9076252723311548,yes
2.6056677219580453,2.450035508360529,2.5362732717392396,0.9098039215686274,yes
2.6056677219580453,2.450035508360529,2.5326800315984594,0.9098039215686274,yes
2.6339644880666846,2.379293593088931,2.507302773104205,0.9058823529411765,yes
2.629922092908307,2.274191318971129,2.4585694536948806,0.8814814814814814,yes
2.6198161050123647,2.1104743150568592,2.3723316903161717,0.8300653594771241,yes
1.865909407975049,1.7931462951242625,1.8436762346039752,0.5302832244008715,no
1.8942061740836882,1.82346425881209,1.8515364474119298,0.530718954248366,no
1.9164393474547616,1.82346425881209,1.856477152605501,0.5350762527233116,no
1.9164393474547616,1.803252283020206,1.8537822224999188,0.5389978213507626,no
1.9164393474547616,1.7870827023866969,1.846820319727158,0.5389978213507626,no
1.8841001861877462,1.8012310854410165,1.8427779245687803,0.5363834422657952,no
1.865909407975049,1.8012310854410165,1.845023699656765,0.5333333333333333,no
1.8942061740836882,1.82346425881209,1.8614178577990723,0.5324618736383442,no
1.8942061740836882,1.8416550370247873,1.8668077180102438,0.5328976034858388,no
